Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
			
SUCLG2P4	5	29001760	29003357
			
	5	32887990	32888145
			
SUMO2P4	5	69068925	69069200
			
FOXA2	20	22580998	22585455
			
DHX29	5	55256055	55307694
			
FLJ31356	2	28384409	28394672
			
MPST	22	37019635	37029821
			
SNRPEP5	2	8603082	8603359
			
COMMD7	20	32702699	32743467
			
LINC02850	2	20859771	20861661
			
	1	31263245	31263681
			
MSL1	17	40121971	40136917
			
IGHVIII-25-1	14	106293568	106293808
			
	14	36213200	36235608
			
DCDC2C	2	3703575	3848008
			
IGHV1-24	14	106276548	106277043
			
	8	42484600	42485019
			
	1	30810378	30815553
			
IGHV3-33	14	106359793	106360324
			
RPL5P4	1	35350722	35351607
			
NEFM	8	24913758	24919098
			
SESN2	1	28259518	28282491
			
COPDA1	14	105647924	105649057
			
TTC7B	14	90524564	90816479
			
CEBPA	19	33299934	33302534
			
RPL36AP13	2	24334512	24335152
			
	2	21221169	21970959
			
LINC01810	2	5810641	5812670
			
	2	11681460	11683328
			
SERINC2	1	31409565	31434680
			
	2	7324748	7325062
			
PAK5	20	9537370	9839076
			
	2	26671254	26674464
			
MYCNUT	2	15920399	15936017
			
	2	14705668	14992066
			
GACAT3	2	16013928	16087201
			
	3	71581721	71628558
			
	8	78148101	78153913
			
GXYLT2	3	72888046	72998138
			
SOX11	2	5692384	5701385
			
	8	39860219	39860525
			
UCN	2	27307400	27308445
			
PEX2	8	76980258	77001044
			
	22	37876148	37895563
			
RNU6-900P	22	37891347	37891448
			
	22	37943050	37944898
			
C22orf23	22	37943050	37953669
			
KCNK3	2	26692690	26733420
			
	6	49273600	49273794
			
PRICKLE2-AS1	3	64067964	64103131
			
LINC01611	6	84421028	84556152
			
ICE2P2	3	88948142	88950928
			
	3	86816740	86817036
			
ID2B	3	62124204	62124608
			
POLR1F	7	19695461	19709037
			
SPATS1	6	44342650	44380179
			
GNRH2	20	3043622	3045747
			
IQCH-AS1	15	67290636	67521844
			
MAPRE3	2	26970637	27027219
			
FBXL2	3	33277025	33403662
			
	8	53971231	53974210
			
GUSBP6	7	64100305	64150721
			
	8	20953127	20968904
			
ZC2HC1A	8	78666089	78719765
			
FBXO24	7	100583982	100601117
			
TMCO5B	15	33235552	33247621
			
	17	34937306	34938604
			
CDRT15P2	17	15764703	15765664
			
NEK4P2	17	16666107	16667118
			
LINC01563	17	21075362	21092351
			
BANF2	20	17693672	17735871
			
	22	37950965	37951778
			
	17	16382152	16382669
			
RARA-AS1	17	40340867	40343136
			
POLR2F	22	37952607	38041915
			
	17	38727833	38728198
			
	15	35774801	35774950
			
	17	20710425	20710533
			
	6	23649496	23649774
			
PXDNL	8	51319577	51809445
			
INO80-AS1	15	41016807	41027893
			
IFITM3P3	6	34576258	34576656
			
	6	40713411	40715363
			
MAP2K5-DT	15	67541072	67542604
			
DMKN	19	35497220	35513658
			
KIF6	6	39329990	39725408
			
MYO1E	15	59132434	59372871
			
RARA	17	40309180	40357643
			
CTSZ	20	58985686	59008238
			
	5	21323873	21341375
			
	5	30545177	30693984
			
TRMT112P2	5	80033171	80033302
			
RPSAP38	5	41951313	41952193
			
RPS17P11	5	52282567	52282859
			
ITGA1	5	52787916	52959209
			
	8	58031334	58032682
			
	8	37326575	37331991
			
IGHVIII-38-1	14	106418018	106418299
			
RPL3P4	14	98972879	98973301
			
	14	41296286	41298734
			
	9	117704157	118072314
			
PDCL3P1	8	60387262	60387995
			
RPL13AP3	14	55766177	55767717
			
DIO3	14	101561351	101563452
			
CASC16	16	52552084	52652132
			
	9	42834116	42838275
			
SPIN1	9	88388430	88478694
			
AJAP1	1	4654609	4792534
			
IGHV3-30	14	106335082	106335613
			
	14	104376530	104378951
			
LINC02298	14	105093609	105100131
			
TMEM68	8	55696424	55773407
			
	14	52798904	52799061
			
GPR68	14	91232532	91253925
			
CES5A	16	55846154	55956031
			
	14	90697333	90699374
			
	14	89355060	89356571
			
IGHA1	14	105703995	105708665
			
	7	63388808	63393657
			
ZNF618	9	113876282	114056591
			
	7	53787167	53787298
			
MIR6820	22	37967563	37967624
			
DDC-AS1	7	50531759	50543463
			
SOX10	22	37970686	37987422
			
	7	43274159	43274582
			
FAM161B	14	73931501	73950414
			
PTAFR	1	28147166	28193936
			
	7	56380976	56381312
			
	7	27873785	27876546
			
NPM1P48	2	4514204	4515056
			
CICP17	7	51382284	51384660
			
SRD5A2	2	31522480	31580938
			
PDAP1	7	99392048	99408597
			
	2	18505729	18514332
			
	2	23357516	23360376
			
	2	10717773	10720952
			
	2	1158310	1160424
			
MBOAT2	2	8852690	9003709
			
OR7E105P	14	51756996	51757988
			
RPS6KA1	1	26529761	26575030
			
FAM181A	14	93918894	93929608
			
	7	94022833	94066661
			
	7	55592074	55593193
			
	7	97938439	97938794
			
MIR4534	22	37988794	37988853
			
	22	38032165	38034228
			
VN1R35P	7	63963431	63964123
			
	22	38043230	38043920
			
AP1S2P1	7	97437518	97437896
			
	7	88512029	88513187
			
PICK1	22	38056311	38075701
			
RPS3AP26	7	98385801	98386584
			
PON3	7	95359872	95396375
			
	14	56759379	56765757
			
SLC20A1P2	14	106179554	106180519
			
IRF2BPL	14	77024543	77028708
			
PACSIN1	6	34466061	34535229
			
CRIP1	14	105486317	105488947
			
GEMIN8P1	15	69803316	69804046
			
TIPIN	15	66336191	66386746
			
SECISBP2	9	89318500	89359663
			
	4	13491185	13516498
			
	8	55893595	55895739
			
	4	36065060	36065726
			
	8	51996210	52008355
			
OSR1	2	19351485	19358623
			
	4	2463797	2464124
			
IGLV8OR8-1	8	47202444	47202897
			
PKIA	8	78516340	78605267
			
IGHV5-10-1	14	106107972	106108464
			
OCIAD2	4	48885019	48906937
			
	14	96204844	96263929
			
	2	33599442	33657460
			
	2	14616428	14630192
			
LINC00239	14	101730437	101732522
			
LINC02312	14	97749264	97763989
			
SPESP1	15	68818221	68946811
			
NUTF2P8	2	21362292	21364025
			
DEGS2	14	100143957	100159645
			
LINC00276	2	13710531	14400963
			
WDCP	2	24029347	24049575
			
TUBBP1	8	30351873	30353518
			
	8	11202965	11203671
			
HNRNPMP1	15	44447577	44449344
			
RPL3P9	8	79571153	79572335
			
	15	40464193	40466726
			
	15	68880663	68928941
			
SRSF3	6	36594353	36605600
			
	8	54042989	54045629
			
RPL26P19	5	56504635	56505072
			
KCNK13	14	90061994	90185853
			
	15	39300418	39310782
			
	8	47546804	47547926
			
	7	63843314	63843505
			
	7	50866747	51022990
			
	8	74052340	74099853
			
SERPINE1	7	101127104	101139247
			
	8	23084355	23103558
			
IGHV3-32	14	106331106	106331563
			
LOXL1-AS1	15	73908071	73928248
			
IGHVII-33-1	14	106367385	106367664
			
TTC32	2	19896631	19901983
			
	14	56817570	56893710
			
RNU2-52P	20	41024205	41024394
			
TOP1	20	41028822	41124487
			
ZFHX4	8	76681239	76867281
			
RPL23AP11	14	102662240	102662708
			
LINC02758	11	28679183	28683469
			
IGHV2-26	14	106301396	106301862
			
LINC02584	11	70072434	70075433
			
	14	41514972	41515350
			
XIAPP2	11	87094734	87096585
			
	7	96283357	96283804
			
PDE4D	5	58969038	60522120
			
MTND1P2	7	64111752	64112572
			
PIWIL4	11	94543840	94621421
			
DPYSL5	2	26847747	26950351
			
VSTM2A-OT1	7	54556970	54571726
			
KRT8P9	15	70858714	70860162
			
HINT1P2	7	95018163	95018397
			
RBM22P3	7	56490682	56491635
			
TDP1	14	89954939	90044764
			
STEAP2-AS1	7	89882353	90211635
			
EWSAT1	15	69072926	69095820
			
PON1	7	95297676	95324532
			
CFAP206	6	87407972	87464465
			
	15	57555951	57556379
			
	17	30899110	30899651
			
GOLGA2P11	15	62253730	62270680
			
KRTAP4-17P	17	41186944	41187136
			
KRT17	17	41619442	41624842
			
GANC	15	42273233	42356935
			
ADAMTSL2	9	133532164	133575519
			
MTCO3P42	4	49548918	49549435
			
CCP110	16	19523811	19553408
			
	4	38286994	38287491
			
	8	79259402	79314951
			
	8	53515170	53515905
			
	8	68176768	68177221
			
IRS3P	7	100570131	100571136
			
MRPL9P1	8	76603240	76603852
			
RBM47	4	40423267	40630875
			
RWDD4P1	7	105301522	105302086
			
	7	94311138	94347063
			
	8	51899268	51949874
			
	7	56175634	56176412
			
	7	36228621	36228884
			
HOXC-AS3	12	53981509	53985519
			
CLVS1	8	61057158	61501645
			
HGF	7	81699010	81770438
			
CERS5	12	50129289	50167533
			
	6	57493855	57497691
			
MTCO3P13	17	22530612	22531392
			
SNORD3B-2	17	19063346	19064136
			
	6	53350158	53350705
			
FILIP1	6	75291859	75493800
			
	3	98522570	98525334
			
PLCG1-AS1	20	41098019	41138003
			
RNF135	17	30970984	30999911
			
RPEP2	3	26015669	26016369
			
	3	87641412	87793629
			
ENPP7P2	3	75446769	75491202
			
MIR6871	20	41169023	41169078
			
	20	41196647	41196938
			
	22	38057180	38073940
			
	22	38090127	38091559
			
FCHSD2	11	72836745	73142318
			
RPL23AP81	20	41196691	41197157
			
	22	38130216	38150612
			
RN7SL615P	20	41290280	41290577
			
C8orf74	8	10672628	10700590
			
SLC16A8	22	38078134	38084093
			
MON1A	3	49907160	49930173
			
	20	4590993	4591300
			
RPS4XP2	20	4627758	4685148
			
PRNP	20	4686350	4701590
			
GPR63	6	96794125	96837477
			
RPL35P3	6	105302453	105302823
			
RPL35P2	6	34263311	34263673
			
PRDX2P4	6	100136064	100136663
			
PRND	20	4721909	4728460
			
BAIAP2L2	22	38084652	38111015
			
HMGN2	1	26472440	26476642
			
	6	97283303	98400869
			
PRNT	20	4731279	4740668
			
	8	60046755	60136599
			
IDI1P3	20	4735669	4736673
			
	20	4761300	4761696
			
RASSF2	20	4780023	4823608
			
	8	50381015	50382275
			
ARMC1	8	65602458	65634217
			
MRTFA	22	40410281	40636719
			
DENND1A	9	123379654	123930152
			
	17	22266395	22288301
			
	2	23507043	23524344
			
	2	21607465	21637197
			
	2	23347654	23351864
			
	17	20507413	20508931
			
	2	16202430	16204226
			
CCR7	17	40553769	40565472
			
MYCN	2	15940550	15947007
			
FRMD4B	3	69168782	69542583
			
RPL21P121	17	18312760	18313533
			
	17	22567423	22568713
			
	16	22365121	22369047
			
NOS2P4	17	16812447	16812651
			
	17	39023394	39026742
			
NDUFA5P11	16	47598654	47598996
			
MPV17	2	27309492	27325680
			
HSPE1P16	16	26062750	26063097
			
PSAPL1	4	7430285	7434930
			
	17	32518953	32531492
			
CLEC16A	16	10944564	11182186
			
CAMTA1-AS1	1	7441096	7441554
			
	17	40012226	40014705
			
NFS1	20	35668052	35699355
			
	4	25504997	25506675
			
	4	49561285	49561470
			
NKAIN1	1	31179745	31239887
			
KRT8P34	17	39835037	39836080
			
KLF3-AS1	4	38602438	38664914
			
SUZ12P1	17	30709299	30790908
			
SNRNP40	1	31259568	31296788
			
	6	90116700	90117105
			
TMEM14A	6	52671113	52686588
			
	15	70791013	70791486
			
BUB1B-PAK6	15	40218500	40264890
			
	15	56542952	56629592
			
	8	73326991	73370601
			
	6	76774972	77097788
			
	8	78626775	78665982
			
LINC01602	8	57855500	57984126
			
NPM1P37	6	69705287	69706160
			
TREM1	6	41267926	41286682
			
	15	66860303	66867023
			
	8	80535006	80539135
			
SOX17	8	54457935	54460892
			
RAB8B	15	63189560	63267776
			
TOP3A	17	18271428	18315007
			
LINC01607	8	79768110	79802842
			
	6	107509803	107511721
			
SEC11B	8	54522799	54523297
			
	8	69446057	69446260
			
	6	71550958	71551643
			
	6	84966397	84966625
			
	1	30409560	30411638
			
ALG1L11P	8	12178697	12182719
			
	4	37868292	37869978
			
ZNF484	9	92844182	92878038
			
SLC25A33	1	9539465	9585173
			
	8	25179113	25184234
			
RELL1	4	37590800	37686376
			
TNFRSF10D	8	23135588	23164027
			
BACH2	6	89926528	90296908
			
RPL26P29	10	68424560	68424997
			
XIAPP1	10	109680442	109681041
			
LINC01167	10	132961340	132962237
			
	10	110907483	110908182
			
TMEM72-AS1	10	44793119	44959709
			
	1	27457198	27459582
			
	1	26218581	26220476
			
THAP2	12	71664301	71680644
			
NBPF2P	1	21424625	21427967
			
	1	29904865	29905357
			
IFNA14	9	21239002	21240005
			
	1	26876133	26878245
			
	1	6767954	6770038
			
	9	107116829	107117557
			
	9	135245696	135252708
			
	9	126518840	126520773
			
	9	68426843	68429369
			
FAM157B	9	138217068	138253217
			
FBLIM1	1	15756607	15786594
			
MTND3P24	4	64610980	64611308
			
	10	97334564	97343203
			
RPS29P11	4	25678850	25679020
			
	4	67607856	67610313
			
FAM24B	10	122849078	122879641
			
POLR2M	15	57706695	57782762
			
	4	43586328	43588097
			
	4	10068089	10073019
			
IL26	12	68201349	68225810
			
LINC02169	16	54245544	54270879
			
RFC1	4	39287456	39366375
			
	16	19065991	19066694
			
XKR9	8	70669339	70790371
			
CTRL	16	67927640	67932365
			
RPL32P22	9	112362714	112363116
			
IFNA10	9	21206181	21207143
			
LINC00484	9	91118592	91182762
			
	12	53985845	54034888
			
RPL7AP9	12	76599671	76600470
			
	3	52753526	52754690
			
	12	52837403	52837739
			
ZDHHC20P3	11	75228322	75228657
			
	3	16275060	16276632
			
	12	46371463	46373778
			
	9	126527618	126530343
			
FTH1P23	3	72929044	72929593
			
	11	89960422	89960624
			
LINC01243	9	31371611	31381490
			
	11	78388061	78392405
			
BMS1P12	9	65189995	65193610
			
	11	78749250	78756480
			
	10	128965406	128968740
			
	10	124996064	125001491
			
	11	93991346	93991429
			
COL27A1	9	114155537	114312511
			
	11	58627435	58628528
			
	10	103549075	103550964
			
PRLHR	10	118589997	118595648
			
CDHR4	3	49790732	49799873
			
SLC16A7	12	59596029	59789855
			
F2	11	46719196	46739506
			
IGHVIII-13-1	14	106142287	106142577
			
LINC02325	14	97427071	97582146
			
RPS26P42	10	75125217	75125862
			
CYP39A1	6	46549580	46652830
			
CYP2E1	10	133520406	133561220
			
IGHV1-18	14	106184901	106185394
			
HOMER2P2	14	106286811	106287657
			
EVL	14	99971449	100144236
			
	8	81149107	81165266
			
	15	66740445	66741151
			
	15	73335260	73342387
			
ARIH1	15	72474330	72602987
			
	8	50859530	50860062
			
	8	81696368	81698694
			
	8	73831143	73831947
			
	8	8723693	8782479
			
	8	63703077	63751677
			
	16	55486618	55488777
			
	16	49159508	49162023
			
ASNSP1	8	46579213	46638886
			
	16	51244054	51244123
			
	16	60357214	60357474
			
	16	25824710	25826330
			
IGHV3OR16-6	16	32915074	32915536
			
GJB3	1	34781214	34786369
			
	6	74530248	74734319
			
	16	51354456	51525157
			
	3	97836986	97874691
			
	16	49170552	49171786
			
	16	47196311	47202429
			
	6	108817680	108817926
			
EIF4BP4	3	42340588	42342367
			
SUMO2P8	6	108618000	108618285
			
SALL1	16	51135975	51151367
			
CYB561D2	3	50365334	50368197
			
LCAL1	6	79307669	79313384
			
	6	37301210	37305176
			
LINC01756	1	29329620	29350114
			
	11	91093875	91094260
			
HMGB1P20	6	53235621	53236297
			
AMOTL1	11	94706431	94876748
			
LINC02549	6	68226972	68329899
			
MATN1-AS1	1	30718504	30726827
			
	6	74642384	74652002
			
	8	54381698	54394870
			
	8	7341826	7342942
			
	6	49714325	49820503
			
	8	73879046	73882733
			
LINC00960	3	75672300	75742048
			
	8	64703774	64734459
			
PAG1	8	80967810	81112068
			
CLEC19A	16	19285731	19322145
			
EEF1GP3	3	40596207	40597494
			
MUSTN1	3	52833114	52835019
			
EIF1P7	2	9271292	9271628
			
	2	12780593	13007029
			
DNAJC16	1	15526813	15592379
			
	6	112236806	112350094
			
PHKG1P1	7	63233035	63234245
			
	8	42842989	42844876
			
LINC02178	16	50390916	50395133
			
	8	81058523	81067744
			
C2orf69P2	16	35492324	35493446
			
	8	46784800	46785928
			
	16	60925733	60928541
			
MTATP6P18	7	64106822	64107572
			
CCL17	16	57404767	57416063
			
IDO1	8	39902275	39928790
			
ZNRF2	7	30284597	30367689
			
BTBD16	10	122271296	122338159
			
MDN1	6	89642498	89819794
			
KDM4E	11	95025258	95027596
			
SERPINB12	18	63542369	63569329
			
MTND4LP18	11	81552226	81552516
			
	16	27213308	27214993
			
ROMO1	20	35699272	35700984
			
	11	95145437	95146004
			
EFR3B	2	25042076	25159135
			
	16	47262741	47263500
			
	17	27683946	27684144
			
GAB2	11	78215293	78418348
			
	16	61691756	61693750
			
	16	63314264	63618046
			
DYNLL1P7	7	85381118	85381375
			
	7	102153355	102154463
			
	12	54162065	54164452
			
LINC00922	16	65284496	65576345
			
	7	55593777	55595006
			
	12	67329014	67350924
			
SPDYE1	7	43997897	44010122
			
LINC02381	12	54126082	54147485
			
ETV4	17	43527844	43579620
			
KRT127P	12	52751978	52753821
			
FLJ13224	12	31324316	31325829
			
	15	65475318	65475614
			
	12	56449700	56488170
			
VENTXP3	12	74292324	74293096
			
	15	68985795	68998679
			
	12	71007773	71032083
			
KRT86	12	52249300	52309163
			
PNLIPRP2	10	116620953	116645143
			
	18	67481791	67484966
			
PLCB2	15	40278176	40307935
			
DSEL	18	67506587	67516720
			
LINC02183	16	54542808	54559100
			
	18	67506589	67514030
			
	16	65938189	65938453
			
DGAT2L7P	7	101201809	101203526
			
MTND2P4	7	64110547	64111550
			
C16orf71	16	4734344	4749396
			
	7	109521981	109597166
			
KATNAL2	18	46917492	47102243
			
	7	83355154	83362266
			
RBM39	20	35701347	35742312
			
NCOR1P3	7	57599794	57610104
			
	7	106425278	106511544
			
CTNNB1	3	41194741	41260096
			
ARPC1A	7	99325898	99366262
			
	4	38390754	38391675
			
	4	27133996	27140051
			
	12	68473741	68474902
			
	4	49212251	49212624
			
	12	59322765	59436874
			
KRT85	12	52360006	52367481
			
TEC	4	48135783	48269838
			
OAT	10	124397303	124418976
			
	9	124006277	124009396
			
RPL7P41	12	52885429	52886385
			
	9	38542389	38543215
			
	18	12031178	12032181
			
MYEOV	11	69294151	69367726
			
	9	124598707	124599580
			
	18	12040101	12040300
			
RPL10P13	12	75688794	75689096
			
	18	12050309	12050672
			
	9	64637845	64652556
			
AFG3L2	18	12328944	12377227
			
VENTXP6	8	73651289	73651602
			
RBMS2	12	56521820	56596193
			
MUSK	9	110668779	110806558
			
YDJC	22	21628089	21630064
			
	16	11797468	11798275
			
C2orf69P3	16	35425364	35426483
			
	16	17082295	17085049
			
	16	52583694	52588879
			
MOCS1P1	16	48496990	48498601
			
DOK4	16	57471922	57487327
			
	11	65561484	65561607
			
ASPH	8	61500556	61714640
			
	11	87480736	87481297
			
OR7E13P	11	86832540	86833449
			
	11	70206291	70207390
			
COX20P1	10	68632371	68632727
			
	10	94688154	94853073
			
	11	91208838	91209590
			
	11	73722349	73722694
			
	11	89954593	89954908
			
KDM4F	11	95049422	95051338
			
CCDC116	22	21632716	21637329
			
FAM133B	7	92560758	92590393
			
	11	73510658	73510820
			
	10	103877374	103879761
			
	11	87565994	87566421
			
	11	68612899	68616711
			
	11	89731017	89734782
			
MGMT	10	129467190	129770983
			
H3P34	11	89498748	89499198
			
	11	89883927	89886213
			
TRIM77	11	89710299	89717872
			
	22	21640844	21641284
			
SDF2L1	22	21642302	21644299
			
	11	89300709	89301477
			
	11	69985876	70015815
			
WDR19	4	39182504	39285810
			
OR7E2P	11	86857059	86857947
			
	11	77473371	77477030
			
	11	90074839	90075096
			
	22	21652270	21670237
			
SFXN2	10	102714538	102743492
			
MIR301B	22	21652981	21653058
			
MIR130B	22	21653304	21653385
			
	22	21657811	21661021
			
RNU7-129P	18	12400412	12400473
			
	22	21661242	21661295
			
ANKRD42	11	83193712	83260694
			
	22	21661476	21661593
			
	22	21661859	21661929
			
PRELID3A	18	12407896	12432238
			
	22	21661934	21662363
			
PPIL2	22	21666000	21700015
			
	7	111411319	111411883
			
DPRXP4	17	30975387	30975954
			
TPST1	7	66205317	66420543
			
UPF3AP1	17	16745636	16746761
			
SRCIN1	17	38530031	38605952
			
	14	26599755	27295516
			
IBTK	6	82169986	82247754
			
IGHV3-19	14	106196700	106196990
			
	14	91264903	91266666
			
IGHV4-31	14	106349283	106349792
			
RPL10L	14	46651010	46651781
			
	1	27389468	27390145
			
	14	77028086	77031572
			
	14	105416884	105419739
			
RHOXF2B	X	120072264	120077690
			
SYTL1	1	27342020	27353937
			
DELEC1	9	114850968	115402644
			
RBMXL3	X	115189410	115192868
			
	14	70858844	70859429
			
SSX2B	X	52751132	52790305
			
	12	45789189	45789657
			
LINC00226	14	106287674	106288828
			
ATP5PDP4	12	68642519	68642993
			
ASNS	7	97851677	97872542
			
	12	50217662	50218343
			
MRPL40P1	12	67351436	67352039
			
	12	57967058	57968399
			
ACTR10	14	58200080	58235636
			
	12	78448995	78540675
			
	2	19711715	19717576
			
RPL35	9	124857880	124861981
			
TRIM53AP	11	89993536	89999741
			
	18	12432897	12437635
			
	18	12438890	12448205
			
BUD13P1	11	95143637	95145125
			
SMARCD1	12	50085200	50100707
			
PLEKHS1	10	113751262	113783429
			
	18	12450447	12451042
			
	18	79576460	79589010
			
GREB1	2	11482341	11642788
			
CEP295	11	93661682	93730358
			
	18	79610747	79612303
			
	18	79638928	79679745
			
	18	79677287	79679358
			
CTDP1	18	79679803	79754503
			
PPP1R26-AS1	9	135462727	135480777
			
	9	94147966	94157219
			
OR5C1	9	122788933	122789895
			
	9	14395791	14472407
			
	9	91426238	91427144
			
	9	129640476	129641282
			
STK33P1	9	85492579	85494094
			
	9	83707594	83713378
			
FRG1KP	9	65646982	65652679
			
NUTF2P3	9	77580245	77580628
			
RBMXP2	9	30689105	30690272
			
MIRLET7A1HG	9	94166258	94200902
			
LANCL3	X	37571569	37684463
			
	9	136122521	136124363
			
	9	124262876	124265809
			
	9	107117459	107121705
			
	9	79975023	79990064
			
	17	30724982	30725181
			
PNMT	17	39667981	39670475
			
FAM236A	X	72938163	72938958
			
CDK5RAP2	9	120388869	120580170
			
HSFX4	X	149929573	149931287
			
ZNF275	X	153334147	153360110
			
KIFC3	16	57758217	57863053
			
	17	21442805	21451525
			
TBC1D3D	17	38003976	38014902
			
EYA3	1	27970344	28088637
			
FMR1	X	147911919	147951125
			
	4	55889743	55903177
			
	4	47556731	47560259
			
	4	28580991	28600845
			
LINC02494	4	58524515	58536328
			
HS3ST1	4	11393150	11429564
			
MTG1	10	133394094	133422520
			
	15	59688517	59689418
			
	4	10167159	10167765
			
MAML2	11	95976598	96343195
			
ZNF718	4	124501	202303
			
ITGA11	15	68296532	68432163
			
CWC15	11	94962620	94973586
			
YPEL1	22	21697536	21735794
			
	18	79702721	79703651
			
KRTAP9-10P	17	41280604	41280810
			
	18	79787121	79791432
			
	18	79792726	79816529
			
KCNG2	18	79863668	79900184
			
	14	96210860	96214818
			
TLR6	4	38823715	38856817
			
IGHV3-29	14	106356145	106356591
			
RAB11FIP4	17	31391675	31538211
			
GSKIP	14	96363452	96387288
			
	18	79900555	79900903
			
SLC66A2	18	79902420	79951657
			
LINC02278	4	38564003	38572022
			
	4	52252820	52551574
			
	12	53159586	53161000
			
LINC02364	4	28996498	29017256
			
	12	74663774	74664141
			
	12	54145069	54147225
			
	12	34190471	34219246
			
TUBAP2	11	90282560	90284172
			
	22	21712761	21714013
			
	11	89576913	89577652
			
RN7SL280P	22	21722895	21723182
			
	22	21737448	21744108
			
DISC1FP1	11	90251204	90915052
			
	22	20348758	20354387
			
USP41	22	20350578	20377251
			
CTDSP2	12	57819927	57846729
			
HMGN1P11	4	62510469	62510771
			
	4	19455418	19938448
			
IGHEP1	14	105721794	105722527
			
FGF19	11	69698238	69704022
			
LINC01166	10	132943967	132965289
			
	4	49524030	49524185
			
FOXN3-AS2	14	89576216	89577477
			
KRT18P25	4	40020240	40021517
			
FRG2B	10	133623895	133626795
			
IGHV3-13	14	106129540	106130072
			
	14	100339832	100340554
			
	14	106206603	106208571
			
ZNF74	22	20394115	20408461
			
LINC01946	2	31793823	31803980
			
	2	28633282	28664540
			
UCHL1	4	41256413	41268455
			
	5	54286194	54286331
			
	2	19458220	19468961
			
RPS16P2	2	20155618	20156057
			
BAZ1A	14	34752731	34875647
			
DEPDC1B	5	60596912	60700190
			
IKZF5	10	122990807	123008812
			
LINC01822	2	21687430	21710656
			
	11	89753982	89754953
			
	11	80957317	80957634
			
PANX1	11	94128841	94181968
			
	2	9746704	9746869
			
	2	27583046	27635174
			
KRT81	12	52285913	52291534
			
GEN1	2	17753858	17788946
			
RPL12P27	10	97309138	97309958
			
	7	67089257	67089470
			
WBP1L	10	102743948	102834516
			
PEG10	7	94656325	94669695
			
	11	90125658	90126061
			
CBX3P7	11	89293745	89294246
			
	11	102467255	102498801
			
	11	94638038	94640833
			
	11	101208905	101209450
			
	11	95037482	95039811
			
	18	79959579	79963178
			
MIR4300HG	11	81821272	82718299
			
DSC2	18	31058840	31102522
			
SLC25A18P1	10	118572871	118573620
			
RPL22P17	10	102887874	102888188
			
	7	44511025	44511332
			
DUX4L28	10	133664429	133665106
			
ABCF2P2	7	72103181	72104209
			
BCCIP	10	125823546	125853695
			
AZGP1P2	7	101287482	101289771
			
	15	62274163	62278365
			
	7	66025126	66031544
			
	7	57820032	57820410
			
	7	46890625	47049678
			
	11	89548130	89548795
			
RPS3AP29	7	97898347	97899115
			
	11	79604967	79612300
			
	11	94545330	94740355
			
HACD3	15	65530418	65578349
			
	11	93726654	93729805
			
	11	70324871	70327209
			
LASP1	17	38869859	38921770
			
RSF1-IT2	11	77717712	77718411
			
MYG1P1	2	27896116	27897195
			
	11	87718667	87721233
			
	2	18784807	18787752
			
	2	29890371	29892354
			
AQP11	11	77589391	77610356
			
VSNL1	2	17539126	17657018
			
RNU6-225P	22	20416797	20416899
			
SCARF2	22	20424584	20437826
			
NRCAM	7	108147623	108456717
			
	11	65305406	65314244
			
	11	89704164	89704658
			
ARAP1-AS1	11	72685075	72693808
			
	5	79529302	79530093
			
KDM4D	11	94973709	94999519
			
LIMA1	12	50175788	50283546
			
UBL5P1	5	29600676	29600868
			
	5	72687112	72771733
			
	5	68963246	68967845
			
	5	8717684	8717883
			
	5	75920670	75921660
			
	11	78533176	78558565
			
HPRT1P3	11	93998643	93999218
			
	5	77030902	77152155
			
	11	89978540	89980661
			
	5	78708734	78716082
			
	11	102681310	102683913
			
	11	90972316	90972521
			
	11	70129297	70149623
			
	5	31747644	31748078
			
DDI1	11	104036640	104039196
			
	11	94185439	94282203
			
HEXB	5	74640023	74722647
			
	11	93609760	93610333
			
	2	15801747	15810877
			
NT5C1B	2	18562872	18589572
			
NTAN1P1	10	115819842	115820487
			
CNTN5	11	99020949	100358885
			
INPP5A	10	132537787	132783480
			
	22	20429241	20446620
			
KLHL22	22	20441519	20495844
			
NOS2	17	27756766	27800529
			
	1	7942372	7942726
			
ZNF593	1	26169908	26170873
			
PIGV	1	26787054	26800659
			
	2	11673964	11676925
			
	2	37816915	37817961
			
	22	20450122	20451824
			
	2	14886647	14907664
			
RNY1P9	22	20475203	20475311
			
Y_RNA	22	20481158	20481268
			
RN7SL812P	22	20481935	20482213
			
	2	31526942	31563464
			
KRT18P5	22	20482815	20484105
			
	22	20522070	20523870
			
	2	9106593	9109865
			
	2	6258348	6341788
			
GSTT2B	22	23957414	23961195
			
RPL32P6	1	26983628	26984024
			
RPL7P11	1	8750430	8751087
			
	2	3156756	3157797
			
FABP3	1	31365253	31376850
			
	2	12715415	12716227
			
RPS13P4	2	23900693	23901149
			
IGHV3-30-2	14	106344385	106344833
			
LINC02311	14	81727780	81743749
			
THUMPD2	2	39736060	39779267
			
IGHVII-22-1	14	106263362	106263626
			
IGHVIII-26-1	14	106309417	106309666
			
	14	103873148	103880381
			
THEMIS3P	18	8486997	8513849
			
AKR1B1P6	18	8545635	8546817
			
	22	23963780	23964374
			
DDTL	22	23966888	23972556
			
RAB12	18	8609437	8639383
			
	22	23969211	23969873
			
	22	23971378	23980469
			
